title,price,brand,quantity,product_code
"Aashirvaad Select Sharbati Atta - Rich In Nutrients, For Soft & Fluffy Roti, 10 kg",₹650,Aashirvaad,10 kg,40236231
"Fortune Premium Kachi Ghani Pure Mustard Oil, 3 x 1 L Multipack",₹495,Fortune,3 x 1 L,1228372
"bb Royal Organic Jaggery/Bella Powder, 1 kg Jar",,bb Royal,1 kg,40186969
"bb Royal Sona Masoori Steam - Rice ( 6 + Months  Old), 26 kg Bag",₹2210,bb Royal,26 kg,40295219
"Aashirvaad Atta with Multigrains - High Fibre, 10 kg",₹670,Aashirvaad,10 kg,40236230
"bb Royal Sona Masoori Raw Rice - 12 + Months Old, 2 x 10 kg Multipack",₹1800,bb Royal,2 x 10 kg,1229908
"BORGES Olive Oil For Indian Cooking - Frying & Baking, 500 ml Glass Bottle",₹950,BORGES,500 ml,40018241
"Madhur Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free, 1 kg",₹65,Madhur,1 kg,40253563
"bb Royal Peanuts/Kadalekayi - Raw, 200 g Pouch",₹50,bb Royal,200 g,30000120
"bb Royal Fried Gram/Huri Kadale, 1 kg Pouch",₹180,bb Royal,1 kg,10000800
"Tata Sampann Moong Dal/Hesaru Bele, 1 kg Pouch",₹219,Tata Sampann,1 kg,30002287
"Idhayam Oil - Gingelly, 1 L Pouch",₹419,Idhayam,1 L,148681
"GRB Ghee, 2 x 1 L Multipack",₹1608,GRB,2 x 1 L,1214150
"bb Popular Chana - Kabuli/Kabuli Kadale, 200 g Pouch",₹53,bb Popular,200 g,40003555
"Dhara  Refined - Sunflower Oil, 3x1 L Multipack",₹420,Dhara,3x1 L,1204463
"BORGES Original Extra Virgin Olive Oil, 1 L Pet Bottle",₹2000,BORGES,1 L,40006250
"bb Royal Organic - Raw Peanuts, 2x1 kg Multipack",₹538,bb Royal,2x1 kg,1205374
"Tata Sampann Urad Dal/Uddina Bele Whole White, 1 Kg",₹254,Tata Sampann,1 Kg,40017976
"bb Popular Moong Dal/Hesaru Bele, 500 g Pouch",₹95,bb Popular,500 g,60000007
"bb Popular Almond/Badam - Californian, Giri, 2x500 g Multipack",₹1200,bb Popular,2x500 g,1208791
"Sunpure  Refined Sunflower Oil, 5 L Can",₹675,Sunpure,5 L,274125
"Tata Salt Vacuum Evaporated Iodised Salt - Helps Mental Development, 1 kg Pouch",₹28,Tata Salt,1 kg,241600
"bb Royal Idli/Idly Rice, 1 kg Pouch",₹80,bb Royal,1 kg,10000450
"bb Royal Surti Kolam Rice - 12+ Months Old, 2 x 10 kg Multipack",₹1800,bb Royal,2 x 10 kg,1229910
"Fortune Rice Bran Health Physically Refined Oil, 3x1 L (Multipack)",₹447,Fortune,3x1 L,1204454
"Saffola Gold Refined Cooking Oil - Blended Rice Bran & Sunflower Oil, Helps Keeps Heart Healthy, 1 L Pouch",₹180,Saffola,,147491
"bb Popular Walnut/Akhrot - Kernels, 200 g Pouch",₹360,bb Popular,200 g,10000537
"bb Royal Green Moong Whole/Hesaru Kaalu - Sabut, 1 kg Pouch",₹188,bb Royal,1 kg,20000437
"bb Royal Sooji Ordinary/Bombay Rava, 5x1 kg Multipack",₹325,bb Royal,5x1 kg,1213922
"bb Popular Phool Makhana, 100 g Pouch",₹200,bb Popular,100 g,40133681
"bb Royal Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour, 1 kg Pouch",₹217,bb Royal,1 kg,10000472
"Fortune Sunlite - Refined Sunflower Oil, 2 L Pet Bottle",₹336,Fortune,2 L,40180049
"Tata Sampann White Thick Poha - High In Fibre, For Breakfast & Evening Tea, 2x1kg Multipack",₹210,Tata Sampann,2x1kg,1223978
"bb Royal Organic - Brown Sugar/Sakkare, 5 kg",₹549,bb Royal,5 kg,40114163
"Parry's White Label Sugar, 5 Kg Sulphur Free Process",₹300,Parry's,5 Kg,40214887
"bb Royal Kurnool Sona Masoori Raw Rice - 12 + Months Old, 5 kg",₹450,bb Royal,5 kg,40060905
"bb Royal Superior-Mp-Sharbati-Atta/Godihittu - Fortified, 10 kg Pouch",₹650,bb Royal,10 kg,40189429
"bb Royal Bullet Raw Rice, 2 x 10 kg Multipack",₹1800,bb Royal,2 x 10 kg,1229914
"Tata Sampann Fine Besan/Kadale Hittu - 100% Chana Dal, 1 kg",₹149,Tata Sampann,1 kg,20005214
"emperia Aura Instant Coffee - Chicory Mix, 50 g Pouch",₹120,emperia,50 g,40295682
"Bisleri  Drinking Water With Added Minerals, 2 L Pack of 9",₹270,Bisleri,2 L,197353
"emperia Classico 100% Instant Coffee, 200 g Pouch",₹660,emperia,200 g,40295684
"Taj Mahal Tea, 2x1 kg Multipack",₹1800,Taj Mahal,2x1 kg,1204491
"Tata Tea Gold Leaf Tea, 2x1 kg Multipack",₹1200,Tata Tea Gold,2x1 kg,1204483
"Red Label Tea, 2x1 kg Multipack",₹1200,Red Label,2x1 kg,1204482
"Tata GoFit Plant Protein Powder - Cafe Mocha Flavour For Women, Gut-Friendly Probiotics, 1 kg (40 Serves)",₹3099,Tata GoFit,1 kg,40279434
"Red Label Tea - Natural Care, 2x1 kg Multipack",₹1200,Red Label,2x1 kg,1204490
"Cothas Coffee Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder, 2x500 g Multipack",,Cothas Coffee,2x500 g,1204496
"fresho! 100% Tender Coconut Water - No Added Sugar & Concentrates, 200 ml Bottle",₹50,fresho!,200 ml,40216129
"BRU Instant Coffee, 2x200 g Multipack",₹920,BRU,2x200 g,1204495
"Nescafe  Coffee - Sunrise, 2x200 g Multipack",₹1080,Nescafe,2x200 g,1204498
"Thums Up Soft Drink, 750 ml Pack of 24",₹960,Thums Up,750 ml,331401
"Wagh Bakri Premium Leaf Tea - Strong & Refreshing, 1 kg Pouch",₹530,Wagh Bakri,1 kg,20003982
"fresho! Signature Mango Juice - 100% Cold Pressed, 200 ml",₹99,fresho! Signature,200 ml,40238781
"Coca Cola Soft Drink - Zero Sugar, No Calories, 750 ml Pet Bottle",₹40,Coca Cola,750 ml,40262162
"Nescafe  Classic 100% Pure Instant Coffee, 2x500 g (Multipack)",₹2920,Nescafe,2x500 g,1204500
"Nescafe  Blend Instant Coffee Powder - Festive Edition- Rich & Smooth, 2x185 g Multipack",₹2100,Nescafe,2x185 g,1213594
"Cadbury Bournvita Chocolate Nutrition Drink, 2x750 g Multipack",₹730,Cadbury Bournvita,2x750 g,1204514
"Tata Tea Kanan Devan Tea, 500 g",₹160,Tata Tea Kanan Devan,500 g,264437
"Tata Tea Premium Tea, 1. 5 kg",₹735,Tata Tea Premium,1. 5 kg,40199390
"BRU Filter Coffee - Green Label, 2x500 g Multipack",₹560,BRU,2x500 g,1204497
"Coca Cola Soft Drink - Original Taste, 24x750 ml Multipack",₹960,Coca Cola,24x750 ml,1212258
